Gene	SecondarySource	PrimarySource
F2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
GPR150	DGI_druggable	dGene RussLampel HopkinsGroom
GPR157	DGI_druggable	dGene HopkinsGroom
GPR156	DGI_druggable	dGene RussLampel
F7	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
F8	DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
F9	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
SMARCA4	Rahul	Inactivation may predict sensitivity to HDAC inhibitors
GPR158	DGI_druggable	dGene RussLampel
GSTZ1	DrugBank	
BAD	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
OR2G6	DGI_druggable	dGene RussLampel HopkinsGroom
TAF1L	DGI_druggable	dGene
SSTR1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ABCA7	DGI_druggable	RussLampel
SSTR3	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
SSTR2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
SSTR5	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
SSTR4	DGI_druggable;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
A2ML1	DGI_druggable	dGene
HTR3A	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
RTP2	DGI_membrane	GO
TMEM8B	DGI_membrane	GO
CCBL1	DrugBank	
ABCA8	DGI_druggable	RussLampel
ABCA9	DGI_druggable	RussLampel
KCNC4	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
FCAR	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
G6PD	DrugBank	
KCNC1	DGI_druggable	RussLampel HopkinsGroom
KCNC2	DGI_druggable	RussLampel HopkinsGroom
KCNC3	DGI_druggable	RussLampel HopkinsGroom
IGSF5	DGI_membrane	GO
PSMD7	DGI_druggable	dGene
PSMD1	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
OR2S2	DGI_druggable	dGene RussLampel HopkinsGroom
PSMD2	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CTNNB1	Rahul;DrugBank;Curated dataset based on clinical trial drug-target interactions	Some prognostic effects in colon cancer and gastric cancer.  Activation may mediate resistance to EGFR TKIs, PI3K inhibitors, and AKT inhibitors. Activation may predict sensitivity to inhibitors of WNT signaling;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CD72	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
MFSD6L	DGI_druggable	RussLampel
NGFR	DGI_membrane;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	GO;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
RTP1	DGI_membrane	GO
MITF	Rahul	Alterations may be involved in resistance to RAF inhibition in melanoma.  May signal the presence of a germline mutation.
HMOX2	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
OR11G2	DGI_druggable	dGene RussLampel HopkinsGroom
EGF	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
SHBG	DrugBank	
PPFIA4	DGI_membrane	GO
PPFIA2	DGI_membrane	GO
PPFIA3	DGI_membrane	GO
AQP1	DrugBank	
ARPC3	DrugBank	
SELPLG	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
HSD17B8	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
OR4N2	DGI_druggable	dGene RussLampel HopkinsGroom
PADI3	DrugBank	
OR3A1	DGI_druggable	dGene RussLampel HopkinsGroom
OR3A2	DGI_druggable	dGene HopkinsGroom
OR3A3	DGI_druggable	dGene RussLampel HopkinsGroom
HSD17B1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
HSD17B2	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
HSD17B3	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
HSD17B4	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
CNOT6	DGI_druggable	RussLampel
HSD17B6	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
OR2F1	DGI_druggable	dGene RussLampel HopkinsGroom
ITGB1	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
NOS1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ALDH3B1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
NOS3	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ITGB5	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
ITGB4	DGI_druggable;DGI_membrane;DrugBank;Computationally obtained list of cell surface genes	RussLampel HopkinsGroom;GO;;Publication_da_Cunha_etal_PMID_19805368
ITGB7	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ITGB6	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
ITGB8	DGI_druggable	RussLampel HopkinsGroom
TNKS	DGI_druggable	HopkinsGroom
SCN8A	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
HGS	DrugBank	
SLC25A6	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
KCNU1	DGI_druggable	HopkinsGroom
YARS2	DGI_druggable;DrugBank	HopkinsGroom;
SLC37A1	DGI_druggable	RussLampel
OR4N4	DGI_druggable	dGene RussLampel HopkinsGroom
IPO7	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
HGF	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
MCFD2	DrugBank	
PLA2G4A	DrugBank	
SLC25A4	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
OR1G1	DGI_druggable	dGene RussLampel HopkinsGroom
CRAT	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
BACE1	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
OR8H2	DGI_druggable	dGene RussLampel HopkinsGroom
OR8H3	DGI_druggable	dGene RussLampel HopkinsGroom
IPO8	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
ATP4A	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ACTR3	DrugBank	
RHOA	DrugBank	
DKK2	TherapeuticTargetsDatabase	
ACTR2	DrugBank	
RABGGTB	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
RABGGTA	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
PTPN20B	DGI_druggable	dGene
KCNA10	DGI_druggable	RussLampel HopkinsGroom
LIPC	DGI_druggable	RussLampel HopkinsGroom
WAS	DrugBank	
PRCP	DGI_druggable	dGene
PSKH2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
PSKH1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
AVPR1B	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
SOST	TherapeuticTargetsDatabase	
AVPR1A	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
S100A7	DrugBank	
IL1RL1	DGI_membrane	GO
ARSK	DGI_druggable	RussLampel HopkinsGroom
GCLC	DrugBank	
MAT1A	DrugBank	
CHRNA9	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
SULF2	DGI_druggable;DGI_membrane	RussLampel HopkinsGroom;GO
MAN1B1	DrugBank	
SLC15A2	DGI_druggable;DrugBank	RussLampel;
TUBA8	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
ARAF	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions	;dGene RussLampel HopkinsGroom;Activating mutations may predict sensitivity to sorafenib or other RAF inhibitors;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
INSRR	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
SLC25A19	DGI_druggable	RussLampel
SLC25A18	DGI_druggable;DrugBank	RussLampel;
SLC25A17	DGI_druggable	RussLampel
SLC25A16	DGI_druggable	RussLampel
SLC25A15	DGI_druggable;DrugBank	RussLampel;
SLC25A14	DGI_druggable	RussLampel
SLC25A13	DGI_druggable;DrugBank	RussLampel;
ROS1	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;Translocations predict sensitivity to  crizotinib.;;
SLC25A11	DGI_druggable	RussLampel
CHRFAM7A	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
PEBP1	DGI_druggable;DGI_membrane	dGene;GO
TUBA3C	DGI_druggable;DrugBank	RussLampel;
MT-ND3	DrugBank;TherapeuticTargetsDatabase	;
TUBA3E	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
TUBA3D	DGI_druggable	HopkinsGroom
MT-ND6	DrugBank	
SLC17A9	DGI_druggable	RussLampel
RAN	DrugBank	
NFE2L1	DrugBank	
HTR3D	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
FGR	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
SHMT2	DrugBank	
SLC12A5	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
SLC12A4	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
SLC12A7	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
SLC12A6	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
SLC12A1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
SLC15A4	DGI_druggable	RussLampel
SLC12A3	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
SLC12A2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ARPC2	DrugBank	
UCP3	DGI_druggable	RussLampel
FGG	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
SLC12A9	DGI_druggable	RussLampel HopkinsGroom
SLC12A8	DGI_druggable	RussLampel HopkinsGroom
FGB	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
LSS	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
TEP1	Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ADCY5	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
PADI2	DrugBank	
HTR3E	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CCT3	DrugBank	
MCHR2	DGI_druggable	dGene RussLampel HopkinsGroom
MCHR1	DGI_druggable;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
CORIN	DGI_druggable;DGI_membrane	dGene RussLampel HopkinsGroom;GO
LPL	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
FKBP4	DGI_druggable	RussLampel HopkinsGroom
RYBP	DGI_druggable	RussLampel HopkinsGroom
LY96	DrugBank	
AKR1B10	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
CACHD1	DGI_druggable	RussLampel
STK17B	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel HopkinsGroom;;
TESK1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
TESK2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
STK17A	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
ARPC5	DrugBank	
PLD2	DrugBank	
ALDH1L2	DGI_druggable	RussLampel HopkinsGroom
ALDH1L1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
C1QC	DrugBank	
SVOP	DGI_druggable	RussLampel
C1QA	DrugBank	
ENO2	DrugBank	
GNG2	DrugBank	
HDAC1	DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
DHRS4L2	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
MMAA	DrugBank	
ALDH5A1	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;
HSD17B7	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
ABCC2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
TYR	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	RussLampel;;
SNX3	DrugBank	
CALR	DGI_membrane;DrugBank	GO;
NPY1R	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;
CYB5R3	DGI_druggable;DrugBank	HopkinsGroom;
FUS	DGI_druggable	RussLampel HopkinsGroom
CYB5R1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
ALDH3B2	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
OR5K4	DGI_druggable	dGene RussLampel HopkinsGroom
UGT3A1	DrugBank	
NTM	DGI_membrane	GO
OR5K1	DGI_druggable	dGene HopkinsGroom
OR5K2	DGI_druggable	dGene RussLampel HopkinsGroom
OR5K3	DGI_druggable	dGene HopkinsGroom
NOS2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
NDUFA7	DrugBank	
ITGB2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
SLC29A1	DrugBank	
PDXP	DrugBank	
COX6B1	DrugBank	
RNGTT	DGI_druggable	dGene HopkinsGroom
GM2A	DrugBank	
CDCP1	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
ADORA2A	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ADORA2B	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ABL2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
PARP8	DGI_druggable	HopkinsGroom
STEAP1	TherapeuticTargetsDatabase	
F2R	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
DUT	DrugBank	
CEL	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
IHH	DGI_druggable	dGene
INSL3	DGI_druggable	RussLampel
RAB11A	DrugBank	
OR1F12	DGI_druggable	dGene RussLampel
STK25	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
STK24	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
ACAD8	DrugBank	
ASNS	DrugBank	
EDA	DrugBank	
L1TD1	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
PHKG2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
PHKG1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
PNPO	DrugBank	
RAB8B	DrugBank	
PARP9	DGI_druggable	HopkinsGroom
NLGN4X	DGI_druggable;DGI_membrane	RussLampel HopkinsGroom;GO
CSK	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel HopkinsGroom;;
SCN3A	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
AMY2A	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
FARSA	DrugBank	
OGFOD2	DrugBank	
GRIN1	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
TRDMT1	DrugBank	
MYL12A	DrugBank	
OR6A2	DGI_druggable	dGene RussLampel HopkinsGroom
EIF4E	DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
